uid,area,outages,dt_stamp
212162023-11-14T07:00:36,21216,4,11/14/2023 07:00:36 AM
212242023-11-14T07:00:36,21224,4,11/14/2023 07:00:36 AM
212242023-11-15T19:00:37,21224,4,11/15/2023 07:00:37 PM
218042023-11-15T19:00:37,21804,4,11/15/2023 07:00:37 PM
206132023-11-16T14:15:35,20613,4,11/16/2023 02:15:35 PM
206162023-11-16T14:15:35,20616,5,11/16/2023 02:15:35 PM
206502023-11-16T14:15:35,20650,38,11/16/2023 02:15:35 PM
206922023-11-16T14:15:35,20692,8,11/16/2023 02:15:35 PM
208142023-11-16T14:15:35,20814,2,11/16/2023 02:15:35 PM
208172023-11-16T14:15:35,20817,14,11/16/2023 02:15:35 PM
208542023-11-16T14:15:35,20854,4,11/16/2023 02:15:35 PM
208892023-11-16T14:15:35,20889,1,11/16/2023 02:15:35 PM
208922023-11-16T14:15:35,20892,1,11/16/2023 02:15:35 PM
